REG_ENT_ID,RN,REG_ENT_NAME,CNTY_NAME,LATITUDE,LONGITUDE,CITY_NAME,PHYS_LOC_DESC_TXT,DELIV_TXT,CITY_NAME_1,USPS_STATE_CD,ZIP_CD,NEAR_CITY_NAME,LOC_ZIP_TXT
526365922001297,RN100579291,COMPRESSED AIR SYSTEMS,TARRANT,0,0,GRAND PRAIRIE,"2626 Skyway, Grand Prairie, TX",2626 SKYWAY DR,GRAND PRAIRIE,TX,75052, ,75051
447366052001297,RN100579358,SAINT JOSEPH HOSPITAL,TARRANT,0,0,FORT WORTH, ,1401 S MAIN ST,FORT WORTH,TX,76104, ,76104
410366102001297,RN100579382,FRIBERG ASSOCIATES,TARRANT,0,0,FORT WORTH,"206 E 8th Street, Fort Worth, TX",206 E 8TH ST,FORT WORTH,TX,76102,FORT WORTH,76102
158366762001297,RN100579549,BLANKENSHIP ARROW,TARRANT,0,0,GRAND PRAIRIE,"1001 Santerre Dr, Grand Prairie, TX",1001 SANTERRE ST,GRAND PRAIRIE,TX,75050, ,75050
139366782001297,RN100579556,FWD DEALER SERVICES AUTO BODY SHOP,TARRANT,0,0,FORT WORTH,"2020 S Cherry Ln, Fort Worth, TX",2020 S CHERRY LN,FORT WORTH,TX,76108, ,76108
22367012001297,RN100579622,DUPLICATE OF 65505,TARRANT,33,-97,FORT WORTH,"820 N Main St, Fort Worth, TX",820 N MAIN ST,FORT WORTH,TX,76164,FORT WORTH,76164
699367612001297,RN100579861,CENTRAL CLEANERS,TARRANT,0,0,BEDFORD,"2113 Harwood Road, Ste 365, Bedford, TX",2113 HARWOOD RD STE 365,BEDFORD,TX,76021,BEDFORD,76021
467368132001297,RN100580034,LANDMARK TOWER,TARRANT,0,0,FORT WORTH,"100 Covello Ave, Fort Worth, TX",100 COVELO AVE,FORT WORTH,TX,76111, ,76111
367368332001297,RN100580109,CROWN CLEANERS,TARRANT,0,0,ARLINGTON,2301 N Collins Arlington TX 76011,2301 N COLLINS ST,ARLINGTON,TX,76011, ,76011
300368462001297,RN100580158,UTEX MANSFIELD,TARRANT,33,-97,MANSFIELD, ,102 SENTRY DR,MANSFIELD,TX,76063,MANSFIELD,76063
131368732001297,RN100580281,SOUTHWEST DRIVE AXLE,TARRANT,0,0,FORT WORTH,"220 S Sylvania Ave, Ste 213, Fort Worth, TX",220 S SYLVANIA AVE STE 213,FORT WORTH,TX,76111, ,76111
102368812001297,RN100580307,NEIGHBORHOOD TEXACO,TARRANT,0,0,HURST,"400 Grapevine Hwy, Hurst, TX",400 GRAPEVINE HWY,HURST,TX,76054, ,76054
878369212001297,RN100580463,MORTEX PRODUCT DBA SUMMIT MFG FT W,TARRANT,0,0,FORT WORTH,"1200 Maxine, Fort Worth, TX",1200 MAXINE ST,FORT WORTH,TX,76117, ,76117
